customer_city,payment_type,count
rio claro,credit_card,124
sao vicente,credit_card,123
atibaia,credit_card,122
manaus,credit_card,117
jaboatao dos guararapes,credit_card,113
sao joao de meriti,credit_card,113
governador valadares,credit_card,111
itu,credit_card,111
cariacica,credit_card,111
braganca paulista,credit_card,111
aracatuba,credit_card,109
marica,credit_card,108
rio das ostras,credit_card,108
divinopolis,credit_card,105
pouso alegre,credit_card,102
sete lagoas,credit_card,102
sao jose dos pinhais,credit_card,101
ponta grossa,credit_card,98
cachoeiro de itapemirim,credit_card,98
pocos de caldas,credit_card,98
paulinia,credit_card,97
resende,credit_card,97
hortolandia,credit_card,97
rio grande,credit_card,97
barra mansa,credit_card,97
teresopolis,credit_card,94
novo hamburgo,credit_card,94
cabo frio,credit_card,92
aparecida de goiania,credit_card,90
anapolis,credit_card,90
mage,credit_card,89
gravatai,credit_card,88
itajai,credit_card,87
ribeirao pires,credit_card,87
porto velho,credit_card,86
belford roxo,credit_card,85
franco da rocha,credit_card,84
sao leopoldo,credit_card,83
ferraz de vasconcelos,credit_card,82
nilopolis,credit_card,82
nova lima,credit_card,82
patos de minas,credit_card,81
palmas,credit_card,81
francisco morato,credit_card,81
santa luzia,credit_card,79
botucatu,credit_card,78
santa barbara d'oeste,credit_card,78
pindamonhangaba,credit_card,77
balneario camboriu,credit_card,76
assis,credit_card,75
olinda,credit_card,74
caieiras,credit_card,74
itatiba,credit_card,73
ribeirao das neves,credit_card,73
mogi-guacu,credit_card,72
salto,credit_card,72
palhoca,credit_card,72
lages,credit_card,71
cajamar,credit_card,71
guaratingueta,credit_card,71
vinhedo,credit_card,71
vitoria da conquista,credit_card,71
caraguatatuba,credit_card,70
ananindeua,credit_card,70
passo fundo,credit_card,70
itajuba,credit_card,70
araras,credit_card,70
criciuma,credit_card,69
conselheiro lafaiete,credit_card,69
foz do iguacu,credit_card,69
chapeco,credit_card,68
araxa,credit_card,65
itapecerica da serra,credit_card,65
varginha,credit_card,65
lavras,credit_card,64
sao roque,credit_card,64
mogi mirim,credit_card,63
araruama,credit_card,63
sao joao da boa vista,credit_card,62
catanduva,credit_card,62
sao joao del rei,credit_card,62
angra dos reis,credit_card,62
itabira,credit_card,62
lauro de freitas,credit_card,62
vicosa,credit_card,62
lorena,credit_card,62
ourinhos,credit_card,61
viamao,credit_card,60
barbacena,credit_card,60
votorantim,credit_card,60
itanhaem,credit_card,59
ilheus,credit_card,59
tatui,credit_card,59
mesquita,credit_card,59
jau,credit_card,59
teofilo otoni,credit_card,57
itapetininga,credit_card,57
jaragua do sul,credit_card,57
rio branco,credit_card,57
mairipora,credit_card,57
guarapari,credit_card,56
cubatao,credit_card,56
poa,credit_card,56
rio verde,credit_card,56
birigui,credit_card,55
parnamirim,credit_card,55
votuporanga,credit_card,54
toledo,credit_card,54
varzea paulista,credit_card,54
ubatuba,credit_card,54
manhuacu,credit_card,53
aruja,credit_card,53
jandira,credit_card,53
avare,credit_card,53
caruaru,credit_card,53
barretos,credit_card,52
petrolina,credit_card,52
paracatu,credit_card,51
campina grande,credit_card,51
sertaozinho,credit_card,50
dourados,credit_card,50
pirassununga,credit_card,50
valenca,credit_card,50
sao sebastiao,credit_card,49
lagoa santa,credit_card,49
caratinga,credit_card,48
linhares,credit_card,48
tubarao,credit_card,47
amparo,credit_card,47
cachoeirinha,credit_card,47
queimados,credit_card,47
colombo,credit_card,47
lins,credit_card,47
itauna,credit_card,47
colatina,credit_card,46
itabuna,credit_card,46
camacari,credit_card,46
rondonopolis,credit_card,46
cruzeiro,credit_card,45
unai,credit_card,45
barra do pirai,credit_card,45
alvorada,credit_card,45
pinhais,credit_card,45
araguari,credit_card,45
ituiutaba,credit_card,45
brusque,credit_card,45
muriae,credit_card,44
cacapava,credit_card,44
timoteo,credit_card,44
guarapuava,credit_card,44
ouro preto,credit_card,43
fernandopolis,credit_card,43
nova serrana,credit_card,43
santa cruz do sul,credit_card,43
jaguariuna,credit_card,42
leme,credit_card,42
itaborai,credit_card,42
tupa,credit_card,42
bento goncalves,credit_card,42
ibirite,credit_card,42
matao,credit_card,41
itaguai,credit_card,41
itapira,credit_card,41
bage,credit_card,41
joao monlevade,credit_card,41
paranagua,credit_card,40
bertioga,credit_card,40
francisco beltrao,credit_card,40
uba,credit_card,40
jaboticabal,credit_card,40
campo mourao,credit_card,39
cosmopolis,credit_card,39
erechim,credit_card,38
araucaria,credit_card,38
itapeva,credit_card,38
apucarana,credit_card,38
peruibe,credit_card,38
ijui,credit_card,38
videira,credit_card,37
santarem,credit_card,37
sao pedro da aldeia,credit_card,37
artur nogueira,credit_card,37
embu-guacu,credit_card,37
pato branco,credit_card,37
sao jose do rio pardo,credit_card,37
ilhabela,credit_card,37
vespasiano,credit_card,37
campo limpo paulista,credit_card,37
itaperuna,credit_card,37
saquarema,credit_card,36
barreiras,credit_card,36
uruguaiana,credit_card,36
macapa,credit_card,36
curvelo,credit_card,36
lajeado,credit_card,36
vargem grande paulista,credit_card,35
itapema,credit_card,35
sabara,credit_card,35
pirapora,credit_card,35
patrocinio,credit_card,34
passos,credit_card,34
lencois paulista,credit_card,34
boituva,credit_card,34
alfenas,credit_card,34
juazeiro,credit_card,34
sapucaia do sul,credit_card,34
guaira,credit_card,34
cianorte,credit_card,34
paulista,credit_card,34
aracruz,credit_card,34
pedro leopoldo,credit_card,33
ponte nova,credit_card,33
coronel fabriciano,credit_card,33
tres coracoes,credit_card,33
registro,credit_card,33
louveira,credit_card,33
itupeva,credit_card,33
tres lagoas,credit_card,32
paranavai,credit_card,32
nova odessa,credit_card,32
valparaiso de goias,credit_card,32
porto seguro,credit_card,32
sao sebastiao do paraiso,credit_card,32
mossoro,credit_card,32
boa vista,credit_card,32
sinop,credit_card,32
jatai,credit_card,32
guaxupe,credit_card,32
andradina,credit_card,31
alagoinhas,credit_card,31
campo largo,credit_card,31
ouro branco,credit_card,31
olimpia,credit_card,31
concordia,credit_card,31
bebedouro,credit_card,31
sao mateus,credit_card,31
itumbiara,credit_card,30
tres rios,credit_card,30
almirante tamandare,credit_card,30
mongagua,credit_card,30
cacador,credit_card,30
japeri,credit_card,30
varzea grande,credit_card,30
esteio,credit_card,30
maracanau,credit_card,30
paracambi,credit_card,30
capao da canoa,credit_card,30
jequie,credit_card,30
rio do sul,credit_card,29
guanambi,credit_card,29
extrema,credit_card,29
penapolis,credit_card,29
sao miguel do oeste,credit_card,29
jales,credit_card,29
umuarama,credit_card,29
para de minas,credit_card,29
itabirito,credit_card,29
imbituba,credit_card,29
bom despacho,credit_card,28
monte alto,credit_card,28
santo antonio de jesus,credit_card,28
osorio,credit_card,28
gaspar,credit_card,28
imperatriz,credit_card,28
paulo afonso,credit_card,28
araguaina,credit_card,28
camaragibe,credit_card,28
santa fe do sul,credit_card,27
tremembe,credit_card,27
monte mor,credit_card,27
sobral,credit_card,27
sao lourenco,credit_card,27
taquaritinga,credit_card,27
mococa,credit_card,27
santo angelo,credit_card,27
telemaco borba,credit_card,27
mirassol,credit_card,27
navegantes,credit_card,27
sao bento do sul,credit_card,27
armacao dos buzios,credit_card,27
santo antonio de padua,credit_card,27
eunapolis,credit_card,26
caldas novas,credit_card,26
ibiuna,credit_card,26
seropedica,credit_card,26
campo bom,credit_card,26
garanhuns,credit_card,26
vassouras,credit_card,26
mariana,credit_card,26
marechal candido rondon,credit_card,26
tiete,credit_card,26
formiga,credit_card,26
arapiraca,credit_card,25
catalao,credit_card,25
arapongas,credit_card,25
cataguases,credit_card,25
batatais,credit_card,25
uniao da vitoria,credit_card,25
caucaia,credit_card,25
diamantina,credit_card,25
adamantina,credit_card,25
miguel pereira,credit_card,24
capivari,credit_card,24
montenegro,credit_card,24
cambe,credit_card,24
orlandia,credit_card,24
santa rosa,credit_card,24
santa isabel,credit_card,24
rio bonito,credit_card,24
capao bonito,credit_card,23
corumba,credit_card,23
promissao,credit_card,23
cruz alta,credit_card,23
alegrete,credit_card,23
alem paraiba,credit_card,23
santa rita do sapucai,credit_card,23
piumhii,credit_card,23
itapolis,credit_card,23
juazeiro do norte,credit_card,23
congonhas,credit_card,23
teixeira de freitas,credit_card,23
presidente venceslau,credit_card,23
sao joaquim da barra,credit_card,23
tangara da serra,credit_card,22
pedreira,credit_card,22
arraial do cabo,credit_card,22
sapiranga,credit_card,22
santa cruz do rio pardo,credit_card,22
guaiba,credit_card,22
luis eduardo magalhaes,credit_card,22
carangola,credit_card,22
trindade,credit_card,22
itarare,credit_card,22
cerquilho,credit_card,22
xanxere,credit_card,22
parauapebas,credit_card,22
ituverava,credit_card,22
rolandia,credit_card,22
barra bonita,credit_card,22
nanuque,credit_card,21
camboriu,credit_card,21
luziania,credit_card,21
dois vizinhos,credit_card,21
biguacu,credit_card,21
dracena,credit_card,21
santiago,credit_card,21
brumadinho,credit_card,21
lucas do rio verde,credit_card,21
frutal,credit_card,20
candeias,credit_card,20
rio grande da serra,credit_card,20
caete,credit_card,20
sao fidelis,credit_card,20
aparecida,credit_card,20
gramado,credit_card,20
sao manuel,credit_card,20
tramandai,credit_card,20
boa esperanca,credit_card,20
arcos,credit_card,20
canoinhas,credit_card,20
cambui,credit_card,20
venancio aires,credit_card,20
tijucas,credit_card,20
mineiros,credit_card,20
indaial,credit_card,20
porto ferreira,credit_card,20
campos do jordao,credit_card,19
dias d'avila,credit_card,19
caceres,credit_card,19
cachoeira do sul,credit_card,19
coromandel,credit_card,19
casimiro de abreu,credit_card,19
matinhos,credit_card,19
joacaba,credit_card,19
farroupilha,credit_card,19
primavera do leste,credit_card,19
medianeira,credit_card,19
formosa,credit_card,19
viana,credit_card,19
garca,credit_card,19
fazenda rio grande,credit_card,19
ilha solteira,credit_card,18
januaria,credit_card,18
cornelio procopio,credit_card,18
aracati,credit_card,18
campo belo,credit_card,18
cravinhos,credit_card,18
cabo de santo agostinho,credit_card,18
curitibanos,credit_card,18
aguas lindas de goias,credit_card,18
timbo,credit_card,18
simoes filho,credit_card,18
cantagalo,credit_card,18
salinas,credit_card,18
cordeiro,credit_card,18
santa barbara,credit_card,18
taquara,credit_card,18
barra do garcas,credit_card,17
guapimirim,credit_card,17
sarandi,credit_card,17
paraiba do sul,credit_card,17
paraguacu paulista,credit_card,17
carlos barbosa,credit_card,17
piracaia,credit_card,17
vera cruz,credit_card,17
tres pontas,credit_card,17
machado,credit_card,17
jacutinga,credit_card,17
sao borja,credit_card,17
iguaba grande,credit_card,17
santa rita do passa quatro,credit_card,17
visconde do rio branco,credit_card,17
mairinque,credit_card,17
ipero,credit_card,17
bom jesus do itabapoana,credit_card,17
santos dumont,credit_card,17
nova venecia,credit_card,17
jacobina,credit_card,17
floriano,credit_card,17
marau,credit_card,16
vacaria,credit_card,16
holambra,credit_card,16
cafelandia,credit_card,16
altamira,credit_card,16
gurupi,credit_card,16
palmital,credit_card,16
oliveira,credit_card,16
conchal,credit_card,16
rancharia,credit_card,16
mafra,credit_card,16
cruz das almas,credit_card,16
cachoeira paulista,credit_card,16
jacarezinho,credit_card,16
monte carmelo,credit_card,16
porto feliz,credit_card,16
braco do norte,credit_card,16
monte azul paulista,credit_card,16
castro,credit_card,16
sorriso,credit_card,16
pereira barreto,credit_card,16
estancia velha,credit_card,16
carazinho,credit_card,16
socorro,credit_card,16
parnaiba,credit_card,16
ponta pora,credit_card,16
pitangui,credit_card,16
nova granada,credit_card,15
bonito,credit_card,15
senhor do bonfim,credit_card,15
bonfim paulista,credit_card,15
viradouro,credit_card,15
piraju,credit_card,15
santana do livramento,credit_card,15
ararangua,credit_card,15
ipora,credit_card,15
icara,credit_card,15
picos,credit_card,15
pederneiras,credit_card,15
miracema,credit_card,15
ibiruba,credit_card,15
cerqueira cesar,credit_card,15
santo anastacio,credit_card,15
jaguariaiva,credit_card,15
posse,credit_card,15
charqueadas,credit_card,15
juquitiba,credit_card,15
torres,credit_card,15
sao gabriel,credit_card,15
canela,credit_card,14
espirito santo do pinhal,credit_card,14
espera feliz,credit_card,14
ipojuca,credit_card,14
pirapora do bom jesus,credit_card,14
campo novo do parecis,credit_card,14
garopaba,credit_card,14
salgueiro,credit_card,14
crato,credit_card,14
pitangueiras,credit_card,14
sao francisco,credit_card,14
redencao,credit_card,14
claudio,credit_card,14
irati,credit_card,14
sao joao da barra,credit_card,14
ibitinga,credit_card,14
castelo,credit_card,14
presidente epitacio,credit_card,14
itapetinga,credit_card,14
cachoeiras de macacu,credit_card,14
uruacu,credit_card,14
panambi,credit_card,14
agudos,credit_card,14
paragominas,credit_card,14
palmeira das missoes,credit_card,14
janauba,credit_card,14
bom jesus dos perdoes,credit_card,14
brumado,credit_card,14
laranjeiras do sul,credit_card,14
barao de cocais,credit_card,14
alegre,credit_card,14
ouro fino,credit_card,14
mandaguari,credit_card,14
bastos,credit_card,14
barrinha,credit_card,14
penha,credit_card,13
conselheiro pena,credit_card,13
miguelopolis,credit_card,13
sarzedo,credit_card,13
santa vitoria,credit_card,13
leopoldina,credit_card,13
iturama,credit_card,13
iguatu,credit_card,13
palmeira,credit_card,13
anchieta,credit_card,13
santo antonio de posse,credit_card,13
piedade,credit_card,13
santo antonio da patrulha,credit_card,13
sao francisco de itabapoana,credit_card,13
inhumas,credit_card,13
maraba,credit_card,13
itaocara,credit_card,13
caxambu,credit_card,13
belo jardim,credit_card,13
natividade,credit_card,13
cunha,credit_card,13
cajati,credit_card,13
pinhalzinho,credit_card,13
aguas de lindoia,credit_card,13
castanhal,credit_card,13
vitoria de santo antao,credit_card,13
patos,credit_card,13
igarassu,credit_card,13
morrinhos,credit_card,13
sao luiz gonzaga,credit_card,12
goianesia,credit_card,12
goiana,credit_card,12
iracemapolis,credit_card,12
aperibe,credit_card,12
pariquera-acu,credit_card,12
jose bonifacio,credit_card,12
sao jose do vale do rio preto,credit_card,12
pompeia,credit_card,12
bandeirantes,credit_card,12
sao gabriel da palha,credit_card,12
guacui,credit_card,12
tambau,credit_card,12
sao gotardo,credit_card,12
campos novos,credit_card,12
guanhaes,credit_card,12
capanema,credit_card,12
quatro barras,credit_card,12
laguna,credit_card,12
pojuca,credit_card,12
jarinu,credit_card,12
bombinhas,credit_card,12
conceicao de macabu,credit_card,12
santo antonio do monte,credit_card,12
dois irmaos,credit_card,12
rio negro,credit_card,12
mirandopolis,credit_card,12
itaporanga,credit_card,12
correia pinto,credit_card,12
americo brasiliense,credit_card,12
agua boa,credit_card,12
vargem grande do sul,credit_card,12
fraiburgo,credit_card,12
santa adelia,credit_card,12
abaetetuba,credit_card,11
quirinopolis,credit_card,11
guararapes,credit_card,11
cacoal,credit_card,11
pinheiral,credit_card,11
venda nova do imigrante,credit_card,11
marataizes,credit_card,11
pirajui,credit_card,11
almenara,credit_card,11
itapiranga,credit_card,11
veranopolis,credit_card,11
laranjal paulista,credit_card,11
taquarituba,credit_card,11
sao mateus do sul,credit_card,11
eusebio,credit_card,11
estrela,credit_card,11
vilhena,credit_card,11
bom jardim,credit_card,11
eldorado do sul,credit_card,11
bezerros,credit_card,11
esmeraldas,credit_card,11
igrejinha,credit_card,11
itapecerica,credit_card,11
monte siao,credit_card,11
capelinha,credit_card,11
imbe,credit_card,11
cajazeiras,credit_card,11
sao lourenco do sul,credit_card,11
timon,credit_card,11
serrinha,credit_card,11
novo gama,credit_card,11
cordeiropolis,credit_card,11
quissama,credit_card,11
petrolandia,credit_card,11
marialva,credit_card,11
santo antonio da platina,credit_card,11
osvaldo cruz,credit_card,11
pires do rio,credit_card,11
itatiaia,credit_card,11
piuma,credit_card,11
mata de sao joao,credit_card,11
santana do paraiso,credit_card,11
irece,credit_card,11
manhumirim,credit_card,11
guapore,credit_card,11
sao sebastiao do cai,credit_card,11
novo horizonte,credit_card,11
sao lourenco da serra,credit_card,10
aracariguama,credit_card,10
porto uniao,credit_card,10
maravilha,credit_card,10
santa cruz do capibaribe,credit_card,10
andradas,credit_card,10
junqueiropolis,credit_card,10
juina,credit_card,10
sao lourenco da mata,credit_card,10
antonina,credit_card,10
salto de pirapora,credit_card,10
carmo,credit_card,10
parati,credit_card,10
tres de maio,credit_card,10
santa helena,credit_card,10
monte aprazivel,credit_card,10
rio negrinho,credit_card,10
chavantes,credit_card,10
loanda,credit_card,10
ariquemes,credit_card,10
assis chateaubriand,credit_card,10
teutonia,credit_card,10
raposos,credit_card,10
sao goncalo do amarante,credit_card,10
nossa senhora do socorro,credit_card,10
marituba,credit_card,10
lagoa vermelha,credit_card,10
sao francisco do sul,credit_card,10
castilho,credit_card,10
balsas,credit_card,10
ibipora,credit_card,10
bambui,credit_card,10
afonso claudio,credit_card,10
astolfo dutra,credit_card,10
limoeiro do norte,credit_card,10
sombrio,credit_card,10
jequitinhonha,credit_card,10
brejo santo,credit_card,10
bocaiuva,credit_card,10
candido mota,credit_card,10
pirai,credit_card,10
planalto,credit_card,10
taiobeiras,credit_card,10
piraquara,credit_card,10
paty do alferes,credit_card,10
sao pedro,credit_card,10
itajobi,credit_card,10
jardinopolis,credit_card,10
buritis,credit_card,10
caxias,credit_card,9
auriflama,credit_card,9
camaqua,credit_card,9
crateus,credit_card,9
varzea da palma,credit_card,9
cangucu,credit_card,9
flores da cunha,credit_card,9
nova era,credit_card,9
santa vitoria do palmar,credit_card,9
santana,credit_card,9
pompeu,credit_card,9
feliz,credit_card,9
faxinal,credit_card,9
ibate,credit_card,9
mimoso do sul,credit_card,9
sao jose de ribamar,credit_card,9
papucaia,credit_card,9
minacu,credit_card,9
teodoro sampaio,credit_card,9
aluminio,credit_card,9
palmeira dos indios,credit_card,9
alvinopolis,credit_card,9
guaramirim,credit_card,9
girua,credit_card,9
campo verde,credit_card,9
joao pinheiro,credit_card,9
triunfo,credit_card,9
conchas,credit_card,9
sao simao,credit_card,9
tupaciguara,credit_card,9
raul soares,credit_card,9
itabaiana,credit_card,9
guara,credit_card,9
guarabira,credit_card,9
andira,credit_card,9
pirapozinho,credit_card,9
nova prata,credit_card,9
corinto,credit_card,9
quixada,credit_card,9
arroio do meio,credit_card,9
nova xavantina,credit_card,9
arroio dos ratos,credit_card,9
guararema,credit_card,9
coronel vivida,credit_card,9
martinopolis,credit_card,9
guariba,credit_card,9
santo amaro da imperatriz,credit_card,9
cesario lange,credit_card,9
balneario picarras,credit_card,9
santa rosa de viterbo,credit_card,9
lagarto,credit_card,9
barra de sao joao,credit_card,9
paraty,credit_card,9
taua,credit_card,9
salesopolis,credit_card,9
senador canedo,credit_card,9
itamaraju,credit_card,9
sao miguel do iguacu,credit_card,9
santa ines,credit_card,9
engenheiro coelho,credit_card,9
igarape,credit_card,9
ji-parana,credit_card,9
capinzal,credit_card,9
descalvado,credit_card,9
pinhao,credit_card,9
embu,credit_card,9
eloi mendes,credit_card,9
itanhandu,credit_card,9
tapiratiba,credit_card,9
porangatu,credit_card,9
carandai,credit_card,9
duartina,credit_card,9
barroso,credit_card,9
italva,credit_card,9
camamu,credit_card,9
aimores,credit_card,9
ibirama,credit_card,9
paraisopolis,credit_card,9
santa maria da vitoria,credit_card,9
casa branca,credit_card,9
santa maria de jetiba,credit_card,9
serra negra,credit_card,9
rosario do sul,credit_card,9
mangueirinha,credit_card,8
frederico westphalen,credit_card,8
piratininga,credit_card,8
siqueira campos,credit_card,8
cajuru,credit_card,8
santa rita,credit_card,8
mambore,credit_card,8
maracaju,credit_card,8
simonesia,credit_card,8
russas,credit_card,8
caetite,credit_card,8
mangaratiba,credit_card,8
virginopolis,credit_card,8
ecoporanga,credit_card,8
mirassol d'oeste,credit_card,8
tres marias,credit_card,8
goitacazes,credit_card,8
goioere,credit_card,8
aracuai,credit_card,8
aracoiaba da serra,credit_card,8
madre de deus,credit_card,8
treze tilias,credit_card,8
morada nova,credit_card,8
abaete,credit_card,8
domingos martins,credit_card,8
dom pedrito,credit_card,8
garibaldi,credit_card,8
niquelandia,credit_card,8
nova andradina,credit_card,8
dois corregos,credit_card,8
sidrolandia,credit_card,8
rio das pedras,credit_card,8
santo amaro,credit_card,8
matozinhos,credit_card,8
escada,credit_card,8
alto do rodrigues,credit_card,8
montanha,credit_card,8
aguai,credit_card,8
cambara,credit_card,8
dores de campos,credit_card,8
matias barbosa,credit_card,8
floresta,credit_card,8
caico,credit_card,8
valente,credit_card,8
aguas da prata,credit_card,8
mutum,credit_card,8
alta floresta,credit_card,8
ouroeste,credit_card,8
abreu e lima,credit_card,8
pinheiros,credit_card,8
monte santo de minas,credit_card,8
mendes,credit_card,8
itapipoca,credit_card,8
brotas,credit_card,8
santa gertrudes,credit_card,8
brodowski,credit_card,8
itambe,credit_card,8
xangri-la,credit_card,8
forquilhinha,credit_card,8
ampere,credit_card,8
coroata,credit_card,8
fartura,credit_card,8
rio paranaiba,credit_card,8
serrana,credit_card,8
joao neiva,credit_card,8
ipameri,credit_card,8
lapa,credit_card,8
sao miguel arcanjo,credit_card,8
bom jesus,credit_card,8
cicero dantas,credit_card,8
carmo do cajuru,credit_card,8
bariri,credit_card,8
paranapanema,credit_card,8
paranaiba,credit_card,8
tanabi,credit_card,8
palestina,credit_card,8
canarana,credit_card,8
potirendaba,credit_card,8
catu,credit_card,8
bacabal,credit_card,8
ibaiti,credit_card,8
biritiba-mirim,credit_card,8
bom jesus da lapa,credit_card,8
presidente dutra,credit_card,8
paraguacu,credit_card,8
barra de sao francisco,credit_card,8
pau dos ferros,credit_card,8
passa quatro,credit_card,8
guaratuba,credit_card,8
araripina,credit_card,8
sao joao nepomuceno,credit_card,8
taquari,credit_card,8
iguape,credit_card,8
pontes e lacerda,credit_card,8
sao lourenco do oeste,credit_card,8
boa esperanca do sul,credit_card,8
parobe,credit_card,8
quata,credit_card,8
palotina,credit_card,8
ibatiba,credit_card,7
pimenta bueno,credit_card,7
ipaba,credit_card,7
cruzeiro do oeste,credit_card,7
costa rica,credit_card,7
mateus leme,credit_card,7
valparaiso,credit_card,7
faxinal dos guedes,credit_card,7
itaguacu,credit_card,7
lajedo,credit_card,7
sao jose da lapa,credit_card,7
lambari,credit_card,7
pomerode,credit_card,7
sao joaquim,credit_card,7
coxim,credit_card,7
nova europa,credit_card,7
fervedouro,credit_card,7
hidrolandia,credit_card,7
araquari,credit_card,7
buritama,credit_card,7
cedral,credit_card,7
regente feijo,credit_card,7
buritizeiro,credit_card,7
tapejara,credit_card,7
santa helena de goias,credit_card,7
acarau,credit_card,7
sao marcos,credit_card,7
barra velha,credit_card,7
morro agudo,credit_card,7
caetanopolis,credit_card,7
portao,credit_card,7
porto real,credit_card,7
mozarlandia,credit_card,7
cacu,credit_card,7
dourado,credit_card,7
caconde,credit_card,7
porciuncula,credit_card,7
porecatu,credit_card,7
divino,credit_card,7
taruma,credit_card,7
vila muriqui,credit_card,7
santa maria madalena,credit_card,7
taguai,credit_card,7
paraibuna,credit_card,7
pradopolis,credit_card,7
taio,credit_card,7
buri,credit_card,7
ibira,credit_card,7
casa nova,credit_card,7
carmo do paranaiba,credit_card,7
lagoa da prata,credit_card,7
paraiso do tocantins,credit_card,7
carpina,credit_card,7
sacramento,credit_card,7
teixeiras,credit_card,7
ico,credit_card,7
piquete,credit_card,7
sao bento do sapucai,credit_card,7
nova ponte,credit_card,7
trajano de moraes,credit_card,7
sapezal,credit_card,7
guaranesia,credit_card,7
sao joao,credit_card,7
campina grande do sul,credit_card,7
campina verde,credit_card,7
nucleo residencial pilar,credit_card,7
arceburgo,credit_card,7
rio brilhante,credit_card,7
arinos,credit_card,7
maracai,credit_card,7
ribeira do pombal,credit_card,7
mantena,credit_card,7
santo augusto,credit_card,7
sao goncalo do sapucai,credit_card,7
ituporanga,credit_card,7
conceicao do coite,credit_card,7
penedo,credit_card,7
lucelia,credit_card,7
turmalina,credit_card,7
pedro de toledo,credit_card,7
botelhos,credit_card,7
ribeirao bonito,credit_card,7
conceicao do mato dentro,credit_card,7
orleans,credit_card,7
areal,credit_card,7
tucurui,credit_card,7
guaicara,credit_card,7
borborema,credit_card,7
ipira,credit_card,7
tucano,credit_card,7
camocim,credit_card,7
pirapetinga,credit_card,7
arroio do sal,credit_card,7
canaa dos carajas,credit_card,7
piedade de caratinga,credit_card,7
colider,credit_card,7
tabapua,credit_card,7
colina,credit_card,7
soledade,credit_card,7
lindoia,credit_card,7
campo maior,credit_card,7
pilar do sul,credit_card,7
sao felix do xingu,credit_card,7
charqueada,credit_card,7
arraial d'ajuda,credit_card,7
ipiau,credit_card,7
itaberaba,credit_card,7
cananeia,credit_card,7
queimadas,credit_card,7
comodoro,credit_card,7
ipaussu,credit_card,7
entre rios,credit_card,6
macaubas,credit_card,6
entre rios de minas,credit_card,6
irapuru,credit_card,6
juquia,credit_card,6
pacajus,credit_card,6
macatuba,credit_card,6
itamarandiba,credit_card,6
perdoes,credit_card,6
imbituva,credit_card,6
porto belo,credit_card,6
pacaembu,credit_card,6
ouricuri,credit_card,6
jacare,credit_card,6
ervalia,credit_card,6
pacaja,credit_card,6
resplendor,credit_card,6
passo de torres,credit_card,6
itapaje,credit_card,6
goias,credit_card,6
ivaipora,credit_card,6
mundo novo,credit_card,6
jeremoabo,credit_card,6
paraopeba,credit_card,6
getulio vargas,credit_card,6
mucuri,credit_card,6
general salgado,credit_card,6
piripiri,credit_card,6
fronteira,credit_card,6
neropolis,credit_card,6
firminopolis,credit_card,6
pesqueira,credit_card,6
itapoa,credit_card,6
primavera,credit_card,6
papanduva,credit_card,6
primeiro de maio,credit_card,6
rodeio,credit_card,6
itobi,credit_card,6
novo cruzeiro,credit_card,6
rio novo do sul,credit_card,6
nhandeara,credit_card,6
prudentopolis,credit_card,6
